instnm,Harvard
Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),77
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1718),55
Average amount of federal  state  local or institutional grant aid awarded (SFA1718),53545
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1718),17
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1718),7566
Percent of full-time first-time undergraduates awarded Pell grants (SFA1718),17
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1718),4849
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1718),12
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1718),3962
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1718),3
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1718),2536
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1718),55
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718),51259
Percent of full-time first-time undergraduates awarded student loans (SFA1718),6
Average amount of student loans awarded to full-time first-time undergraduates (SFA1718),6430
Percent of full-time first-time undergraduates awarded federal student loans (SFA1718),2
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1718),4951
Percent of full-time first-time undergraduates awarded other student loans (SFA1718),5
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1718),5477
Percent of full-time first-time undergraduates awarded any financial aid (SFA1617_RV),72
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1617_RV),56
Average amount of federal  state  local or institutional grant aid awarded (SFA1617_RV),49870
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1617_RV),15
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1617_RV),7389
Percent of full-time first-time undergraduates awarded Pell grants (SFA1617_RV),15
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1617_RV),4659
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1617_RV),10
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1617_RV),3954
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1617_RV),3
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1617_RV),2729
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1617_RV),55
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),48524
Percent of full-time first-time undergraduates awarded student loans (SFA1617_RV),9
Average amount of student loans awarded to full-time first-time undergraduates (SFA1617_RV),7372
Percent of full-time first-time undergraduates awarded federal student loans (SFA1617_RV),3
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1617_RV),5133
Percent of full-time first-time undergraduates awarded other student loans (SFA1617_RV),8
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1617_RV),6764
Percent of full-time first-time undergraduates awarded any financial aid (SFA1516_RV),72
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1516_RV),55
Average amount of federal  state  local or institutional grant aid awarded (SFA1516_RV),48195
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1516_RV),16
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1516_RV),7651
Percent of full-time first-time undergraduates awarded Pell grants (SFA1516_RV),16
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1516_RV),4821
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1516_RV),11
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1516_RV),3963
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1516_RV),4
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1516_RV),2373
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1516_RV),55
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),46044
Percent of full-time first-time undergraduates awarded student loans (SFA1516_RV),8
Average amount of student loans awarded to full-time first-time undergraduates (SFA1516_RV),6844
Percent of full-time first-time undergraduates awarded federal student loans (SFA1516_RV),2
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1516_RV),4858
Percent of full-time first-time undergraduates awarded other student loans (SFA1516_RV),6
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1516_RV),6376
Percent of full-time first-time undergraduates awarded any financial aid (SFA1415_RV),75
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1415_RV),52
Average amount of federal  state  local or institutional grant aid awarded (SFA1415_RV),46508
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1415_RV),15
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1415_RV),8125
Percent of full-time first-time undergraduates awarded Pell grants (SFA1415_RV),15
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1415_RV),4612
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1415_RV),11
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1415_RV),5055
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1415_RV),4
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1415_RV),2482
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1415_RV),52
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),44029
Percent of full-time first-time undergraduates awarded student loans (SFA1415_RV),8
Average amount of student loans awarded to full-time first-time undergraduates (SFA1415_RV),6225
Percent of full-time first-time undergraduates awarded federal student loans (SFA1415_RV),3
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1415_RV),5333
Percent of full-time first-time undergraduates awarded other student loans (SFA1415_RV),6
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1415_RV),5740
Percent of full-time first-time undergraduates awarded any financial aid (SFA1314_RV),72
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1314_RV),56
Average amount of federal  state  local or institutional grant aid awarded (SFA1314_RV),44855
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1314_RV),17
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1314_RV),8323
Percent of full-time first-time undergraduates awarded Pell grants (SFA1314_RV),17
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1314_RV),4739
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1314_RV),12
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1314_RV),5150
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1314_RV),4
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1314_RV),2430
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1314_RV),56
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),42157
Percent of full-time first-time undergraduates awarded student loans (SFA1314_RV),7
Average amount of student loans awarded to full-time first-time undergraduates (SFA1314_RV),5080
Percent of full-time first-time undergraduates awarded federal student loans (SFA1314_RV),3
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1314_RV),4546
Percent of full-time first-time undergraduates awarded other student loans (SFA1314_RV),6
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1314_RV),4496
Percent of full-time first-time undergraduates awarded any financial aid (SFA1213_RV),75
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1213_RV),58
Average amount of federal  state  local or institutional grant aid awarded (SFA1213_RV),41505
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1213_RV),15
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1213_RV),7225
Percent of full-time first-time undergraduates awarded Pell grants (SFA1213_RV),15
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1213_RV),4458
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1213_RV),10
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1213_RV),3976
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1213_RV),4
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1213_RV),2347
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1213_RV),58
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),39842
Percent of full-time first-time undergraduates awarded student loans (SFA1213_RV),9
Average amount of student loans awarded to full-time first-time undergraduates (SFA1213_RV),6267
Percent of full-time first-time undergraduates awarded federal student loans (SFA1213_RV),3
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1213_RV),4028
Percent of full-time first-time undergraduates awarded other student loans (SFA1213_RV),8
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1213_RV),5908
Percent of full-time first-time undergraduates awarded any financial aid (SFA1112_RV),77
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1112_RV),62
Average amount of federal  state  local or institutional grant aid awarded (SFA1112_RV),41555
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1112_RV),18
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1112_RV),7190
Percent of full-time first-time undergraduates awarded Pell grants (SFA1112_RV),18
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1112_RV),4269
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1112_RV),13
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1112_RV),4544
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1112_RV),4
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1112_RV),2453
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1112_RV),61
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1112_RV),39754
Percent of full-time first-time undergraduates awarded student loans (SFA1112_RV),11
Average amount of student loans awarded to full-time first-time undergraduates (SFA1112_RV),5118
Percent of full-time first-time undergraduates awarded federal student loans (SFA1112_RV),3
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1112_RV),4237
Percent of full-time first-time undergraduates awarded other student loans (SFA1112_RV),9
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1112_RV),4718
Percent of full-time first-time undergraduates awarded any financial aid (SFA1011_RV),81
Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1011_RV),70
Average amount of federal  state  local or institutional grant aid awarded (SFA1011_RV),35673
Percent of full-time first-time undergraduates awarded federal grant aid (SFA1011_RV),18
Average amount of federal grant aid awarded to full-time first-time undergraduates (SFA1011_RV),7372
Percent of full-time first-time undergraduates awarded Pell grants (SFA1011_RV),18
Average amount of Pell grant aid awarded to full-time first-time undergraduates (SFA1011_RV),4264
Percent of full-time first-time undergraduates awarded other federal grant aid (SFA1011_RV),14
Average amount of other federal grant aid awarded to full-time first-time undergraduates (SFA1011_RV),3866
Percent of full-time first-time undergraduates awarded state/local grant aid (SFA1011_RV),4
Average amount of state/local grant aid awarded to full-time first-time undergraduates (SFA1011_RV),1898
Percent of full-time first-time undergraduates awarded institutional grant aid (SFA1011_RV),66
Average amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1011_RV),35758
Percent of full-time first-time undergraduates awarded student loans (SFA1011_RV),11
Average amount of student loans awarded to full-time first-time undergraduates (SFA1011_RV),4857
Percent of full-time first-time undergraduates awarded federal student loans (SFA1011_RV),3
Average amount of federal student loans awarded to full-time first-time undergraduates (SFA1011_RV),4531
Percent of full-time first-time undergraduates awarded other student loans (SFA1011_RV),9
Average amount of other student loans awarded to full-time first-time undergraduates (SFA1011_RV),4112
Percent of full-time first-time undergraduates receiving any financial aid (SFA0910_RV),82
Percent of full-time first-time undergraduates receiving federal  state  local or institutional grant aid (SFA0910_RV),69
Average amount of federal  state  local or institutional grant aid received (SFA0910_RV),35541
Percent of full-time first-time undergraduates  receiving federal grant aid (SFA0910_RV),26
Average amount of federal grant aid received by full-time first-time undergraduates (SFA0910_RV),5332
Percent of full-time first-time undergraduates receiving Pell grants (SFA0910_RV),15
Average amount of Pell grant aid received by full-time first-time undergraduates (SFA0910_RV),4369
Percent of full-time first-time undergraduates receiving other federal grant aid (SFA0910_RV),23
Average amount of other federal grant aid received by full-time first-time undergraduates (SFA0910_RV),3065
Percent of full-time first-time undergraduates receiving state/local grant aid (SFA0910_RV),4
Average amount of state/local grant aid received by full-time first-time undergraduates (SFA0910_RV),2738
Percent of full-time first-time undergraduates receiving institutional grant aid (SFA0910_RV),66
Average amount of institutional grant aid received by full-time first-time undergraduates (SFA0910_RV),34621
Percent of full-time first-time undergraduates receiving student loan aid (SFA0910_RV),12
Average amount of student loan aid received by full-time first-time undergraduates (SFA0910_RV),4448
Percent of full-time first-time undergraduates receiving federal student loan aid (SFA0910_RV),4
Average amount of federal student loan aid received by full-time first-time undergraduates (SFA0910_RV),4028
Percent of full-time first-time undergraduates receiving other student loan aid (SFA0910_RV),9
Average amount of other student loan aid received by full-time first-time undergraduates (SFA0910_RV),4198
Percent of full-time first-time undergraduates receiving any financial aid (SFA0809_RV),81
Percent of full-time first-time undergraduates receiving federal  state  local or institutional grant aid (SFA0809_RV),66
Average amount of federal  state  local or institutional grant aid received (SFA0809_RV),34094
Percent of full-time first-time undergraduates  receiving federal grant aid (SFA0809_RV),24
Average amount of federal grant aid received by full-time first-time undergraduates (SFA0809_RV),4750
Percent of full-time first-time undergraduates receiving Pell grants (SFA0809_RV),13
Average amount of Pell grant aid received by full-time first-time undergraduates (SFA0809_RV),3494
Percent of full-time first-time undergraduates receiving other federal grant aid (SFA0809_RV),21
Average amount of other federal grant aid received by full-time first-time undergraduates (SFA0809_RV),3266
Percent of full-time first-time undergraduates receiving state/local grant aid (SFA0809_RV),4
Average amount of state/local grant aid received by full-time first-time undergraduates (SFA0809_RV),2481
Percent of full-time first-time undergraduates receiving institutional grant aid (SFA0809_RV),62
Average amount of institutional grant aid received by full-time first-time undergraduates (SFA0809_RV),34302
Percent of full-time first-time undergraduates receiving student loan aid (SFA0809_RV),10
Average amount of student loan aid received by full-time first-time undergraduates (SFA0809_RV),4656
Percent of full-time first-time undergraduates receiving federal student loan aid (SFA0809_RV),3
Average amount of federal student loan aid received by full-time first-time undergraduates (SFA0809_RV),4189
Percent of full-time first-time undergraduates receiving other student loan aid (SFA0809_RV),8
Average amount of other student loan aid received by full-time first-time undergraduates (SFA0809_RV),4292
Percentage receiving any financial aid (SFA0708_RV),62
Percent receiving federal  state  local or institutional grant aid (SFA0708_RV),60
Average amount of federal  state  local or institutional grant aid received (SFA0708_RV),28866
Percentage  receiving federal grant aid (SFA0708_RV),26
Average amount of federal grant aid received (SFA0708_RV),4090
Percentage receiving Pell grants (SFA0708_RV),13
Average amount of Pell grant aid received (SFA0708_RV),3090
Percentage receiving other federal grant aid (SFA0708_RV),23
Average amount of other federal grant aid received (SFA0708_RV),2851
Percentage receiving state/local grant aid (SFA0708_RV),5
Average amount of state/local grant aid received (SFA0708_RV),2574
Percentage receiving institutional grant aid (SFA0708_RV),53
Average amount of institutional grant aid received (SFA0708_RV),30446
Percentage receiving student loan aid (SFA0708_RV),21
Average amount of student loan aid received (SFA0708_RV),4307
Percentage receiving federal loan aid (SFA0708_RV),6
Average amount of federal loan aid received (SFA0708_RV),3015
Percentage receiving other loan aid (SFA0708_RV),16
Average amount of loan aid received (SFA0708_RV),4429
Percentage receiving any financial aid (SFA0607_RV),77
Percentage  receiving federal grant aid (SFA0607_RV),24
Average amount of federal grant aid received (SFA0607_RV),4524
Percentage receiving state/local grant aid (SFA0607_RV),4
Average amount of state/local grant aid received (SFA0607_RV),2321
Percentage receiving institutional grant aid (SFA0607_RV),52
Average amount of institutional grant aid received (SFA0607_RV),28582
Percentage receiving student loan aid (SFA0607_RV),18
Average amount of student loan aid received (SFA0607_RV),3898
Percentage receiving any financial aid (SFA0506_RV),76
Percentage  receiving federal grant aid (SFA0506_RV),25
Average amount of federal grant aid received (SFA0506_RV),4586
Percentage receiving state/local grant aid (SFA0506_RV),5
Average amount of state/local grant aid received (SFA0506_RV),2209
Percentage receiving institutional grant aid (SFA0506_RV),51
Average amount of institutional grant aid received (SFA0506_RV),25078
Percentage receiving student loan aid (SFA0506_RV),24
Average amount of student loan aid received (SFA0506_RV),3610
Percentage receiving any financial aid (SFA0405_RV),84
Percentage  receiving federal grant aid (SFA0405_RV),25
Average amount of federal grant aid received (SFA0405_RV),4041
Percentage receiving state/local grant aid (SFA0405_RV),6
Average amount of state/local grant aid received (SFA0405_RV),1902
Percentage receiving institutional grant aid (SFA0405_RV),50
Average amount of institutional grant aid received (SFA0405_RV),23314
Percentage receiving student loan aid (SFA0405_RV),27
Average amount of student loan aid received (SFA0405_RV),2890
Percentage receiving any financial aid (SFA0304_RV),84
Percentage  receiving federal grant aid (SFA0304_RV),24
Average amount of federal grant aid received (SFA0304_RV),4158
Percentage receiving state/local grant aid (SFA0304_RV),4
Average amount of state/local grant aid received (SFA0304_RV),2809
Percentage receiving institutional grant aid (SFA0304_RV),49
Average amount of institutional grant aid received (SFA0304_RV),21702
Percentage receiving student loan aid (SFA0304_RV),26
Average amount of student loan aid received (SFA0304_RV),2709
